train_smiles,test_smiles
[H:17][C:1](=[O:2])[C@:3]1([C@:15]([C@:13]([C@@:11]([C@:5]([O:4]1)([H:19])[O:6][Si:7]([C:8]([H:20])([H:21])[H:22])([O:9][H:23])[O:10][H:24])([H:25])[O:12][H:26])([H:27])[O:14][H:28])([H:29])[O:16][H:30])[H:18],[H:17][C:1](=[O:2])[C@:3]1([C@@:15]([C@:13]([C@:11]([C@:5]([O:4]1)([H:19])[O:6][Si:7]([C:8]([H:20])([H:21])[H:22])([O:9][H:23])[O:10][H:24])([H:25])[O:12][H:26])([H:27])[O:14][H:28])([H:29])[O:16][H:30])[H:18]
[H:12][C:1]([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]([C:4]([H:17])([H:18])[H:19])([C:5]([H:20])([H:21])[H:22])[C:6]([H:23])([H:24])[C:7]([H:25])([H:26])[S:8](=[O:9])(=[O:10])[N:11]([H:27])[H:28],[H:12][C:1]([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]([C:4]([H:17])([H:18])[H:19])([C:5]([H:20])([H:21])[H:22])[C:6]([H:23])([H:24])[C:7]([H:25])([H:26])[S:8](=[O:9])(=[O:10])[N:11]([H:27])[H:28]
[H:17][C:5]1([C:6]([C:7]([O:8][C:4]1([H:16])[C:3]([H:15])([O:2][C:1]([H:12])([H:13])[H:14])[O:10][C:11]([H:23])([H:24])[H:25])([H:20])[H:21])([H:19])[O:9][H:22])[H:18],[H:17][C:5]1([C:6]([C:7]([O:8][C:4]1([H:16])[C:3]([H:15])([O:2][C:1]([H:12])([H:13])[H:14])[O:10][C:11]([H:23])([H:24])[H:25])([H:20])[H:21])([H:19])[O:9][H:22])[H:18]
[H:15][C:7](=[S:8])[S:6][C:5]([H:13])([H:14])[C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]#[N:4],[H:15][C:7](=[S:8])[S:6][C:5]([H:13])([H:14])[C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]#[N:4]
[H:24][C:9](=[O:10])[C:6]1([C:5]([C:4]([C:8]([N+:7]1([H:20])[H:21])([H:22])[H:23])([H:16])[S:3][C:2]([H:14])([H:15])[C:1]([H:11])([H:12])[H:13])([H:17])[H:18])[H:19],[H:24][C:9](=[O:10])[C:6]1([C:5]([C:4]([C:8]([N+:7]1([H:20])[H:21])([H:22])[H:23])([H:16])[S:3][C:2]([H:14])([H:15])[C:1]([H:11])([H:12])[H:13])([H:17])[H:18])[H:19]
[H:12][C:1]1([C:2]([N:3]([C:4]([C:5]1([C:6]([H:19])([H:20])[N:7]=[C:8]([O:9][H:21])[Cl:10])[N+:11]([H:22])([H:23])[H:24])([H:17])[H:18])[H:16])([H:14])[H:15])[H:13],[H:12][C:1]1([C:2]([N:3]([C:4]([C:5]1([C:6]([H:19])([H:20])[N:7]=[C:8]([O:9][H:21])[Cl:10])[N+:11]([H:22])([H:23])[H:24])([H:17])[H:18])[H:16])([H:14])[H:15])[H:13]
[H:12][c:1]1[c:2]([c:3]([c:4]([c:5]([c:6]1[H:16])[H:15])[C:7]([H:17])([H:18])[N+:8]([H:19])([H:20])[C:9]([H:21])([H:22])[N:10]=[N:11][H:23])[H:14])[H:13],[H:12][c:1]1[c:2]([c:3]([c:4]([c:5]([c:6]1[H:16])[H:15])[C:7]([H:17])([H:18])[N+:8]([H:19])([H:20])[C:9]([H:21])([H:22])[N:10]=[N:11][H:23])[H:14])[H:13]
[H:12][C:1]1([C:2]([C:3]([N+:4]([C:5]([C:6]1([H:21])[H:22])([H:19])[H:20])([H:18])[C:7]([H:23])([H:24])[C:8](=[O:9])[C:10]([H:25])([H:26])[O:11][H:27])([H:16])[H:17])([H:14])[H:15])[H:13],[H:12][C:1]1([C:2]([C:3]([N+:4]([C:5]([C:6]1([H:21])[H:22])([H:19])[H:20])([H:18])[C:7]([H:23])([H:24])[C:8](=[O:9])[C:10]([H:25])([H:26])[O:11][H:27])([H:16])[H:17])([H:14])[H:15])[H:13]
[H:16][C:4]1([C:5]([C:6]([C:7]([C:8]([C:3]1([H:15])[O:2][C:1]([H:12])([H:13])[H:14])([H:23])[H:24])([H:21])[H:22])([H:20])[S:9](=[O:10])[O-:11])([H:18])[H:19])[H:17],[H:16][C:4]1([C:5]([C:6]([C:7]([C:8]([C:3]1([H:15])[O:2][C:1]([H:12])([H:13])[H:14])([H:23])[H:24])([H:21])[H:22])([H:20])[S:9](=[O:10])[O-:11])([H:18])[H:19])[H:17]
[H:31][c:10]1[c:11]([c:12]([c:14]([c:15]([c:9]1[C@:2]([C:1]([H:16])([H:17])[H:18])([C:4]([H:20])([H:21])[Si:5]([C:6]([H:22])([H:23])[H:24])([C:7]([H:25])([H:26])[H:27])[C:8]([H:28])([H:29])[H:30])[O:3][H:19])[H:34])[H:33])[F:13])[H:32],[H:31][c:10]1[c:11]([c:12]([c:14]([c:15]([c:9]1[C@@:2]([C:1]([H:16])([H:17])[H:18])([C:4]([H:20])([H:21])[Si:5]([C:6]([H:22])([H:23])[H:24])([C:7]([H:25])([H:26])[H:27])[C:8]([H:28])([H:29])[H:30])[O:3][H:19])[H:34])[H:33])[F:13])[H:32]
[H:13][C:1]1=[C:2]([S:3][C:4](=[C:5]1[C:6]2([C:7]([N:8]([C:9]([C:10]2([H:22])[C:11]([H:23])([H:24])[O:12][H:25])([H:20])[H:21])[H:19])([H:17])[H:18])[H:16])[H:15])[H:14],[H:13][C:1]1=[C:2]([S:3][C:4](=[C:5]1[C:6]2([C:7]([N:8]([C:9]([C:10]2([H:22])[C:11]([H:23])([H:24])[O:12][H:25])([H:20])[H:21])[H:19])([H:17])[H:18])[H:16])[H:15])[H:14]
[H:17][C:7]1([C:3]2([C:4]([C:2]2([C:1]([H:13])([H:14])[H:15])[C:12]([H:24])([H:25])[H:26])([C:5]([O:6]1)([H:16])[C:8]([H:19])([H:20])[O:9][H:21])[O:10][H:22])[O:11][H:23])[H:18],[H:17][C:7]1([C:3]2([C:4]([C:2]2([C:1]([H:13])([H:14])[H:15])[C:12]([H:24])([H:25])[H:26])([C:5]([O:6]1)([H:16])[C:8]([H:19])([H:20])[O:9][H:21])[O:10][H:22])[O:11][H:23])[H:18]
[H:11][C:1]([H:12])([H:13])[C:2]([H:14])([H:15])[C:3]([H:16])([H:17])[Si:4]([C:5]([H:18])([H:19])[C:6]([H:20])([H:21])[H:22])([C:7]([H:23])([H:24])[C:8]([H:25])([H:26])[H:27])[C:9]([H:28])([H:29])[C:10]([H:30])([H:31])[H:32],[H:11][C:1]([H:12])([H:13])[C:2]([H:14])([H:15])[C:3]([H:16])([H:17])[Si:4]([C:5]([H:18])([H:19])[C:6]([H:20])([H:21])[H:22])([C:7]([H:23])([H:24])[C:8]([H:25])([H:26])[H:27])[C:9]([H:28])([H:29])[C:10]([H:30])([H:31])[H:32]
[H:11][C:1]([H:12])([H:13])[C:2]([H:14])([H:15])[C:3]([H:16])([C:4]([H:17])([H:18])[H:19])[S:5][P:6](=[O:7])([H:20])[O:8][C:9]([H:21])([H:22])[C:10]([H:23])([H:24])[H:25],[H:11][C:1]([H:12])([H:13])[C:2]([H:14])([H:15])[C:3]([H:16])([C:4]([H:17])([H:18])[H:19])[S:5][P:6](=[O:7])([H:20])[O:8][C:9]([H:21])([H:22])[C:10]([H:23])([H:24])[H:25]
[H:12][C:1]([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]([H:17])([C:4]([H:18])([H:19])[C:5]([H:20])([H:21])[H:22])[C:6]([H:23])([C:7]([H:24])([H:25])[N:8]([H:26])[H:27])[N+:9]([H:28])([C:10]([H:29])([H:30])[H:31])[C:11]([H:32])([H:33])[H:34],[H:12][C:1]([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]([H:17])([C:4]([H:18])([H:19])[C:5]([H:20])([H:21])[H:22])[C:6]([H:23])([C:7]([H:24])([H:25])[N:8]([H:26])[H:27])[N+:9]([H:28])([C:10]([H:29])([H:30])[H:31])[C:11]([H:32])([H:33])[H:34]
[H:13][c:1]1[c:2]([c:3]([c:4]([c:5]([c:6]1[H:16])[C:7]([H:17])([H:18])[C:8]([H:19])([C:9]([H:20])([H:21])[N+:10]([H:22])([H:23])[H:24])[O:11][H:25])[F:12])[H:15])[H:14],[H:13][c:1]1[c:2]([c:3]([c:4]([c:5]([c:6]1[H:16])[C:7]([H:17])([H:18])[C:8]([H:19])([C:9]([H:20])([H:21])[N+:10]([H:22])([H:23])[H:24])[O:11][H:25])[F:12])[H:15])[H:14]
[H:14][C:4]1=[N:5][C:6]([C:2](=[C:3]1[C:7]([H:17])([H:18])[C:8]([H:19])([H:20])[C:9](=[O:10])[H:21])[C:1]([H:11])([H:12])[H:13])([H:15])[H:16],[H:14][C:4]1=[N:5][C:6]([C:2](=[C:3]1[C:7]([H:17])([H:18])[C:8]([H:19])([H:20])[C:9](=[O:10])[H:21])[C:1]([H:11])([H:12])[H:13])([H:15])[H:16]
[H:22][C:10]1=[C:11]([O:12][C:8](=[C:9]1[H:21])[C:7]([H:19])([H:20])[N:6]([H:18])[C:4](=[S:5])[O:3][C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])[H:23],[H:22][C:10]1=[C:11]([O:12][C:8](=[C:9]1[H:21])[C:7]([H:19])([H:20])[N:6]([H:18])[C:4](=[S:5])[O:3][C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])[H:23]
[H:19][C:9]1([C:7](=[O:8])[O:6][C:5]2([C:4]1([C:3]([C:2]([C:1]2([H:13])[H:14])([H:15])[O:12][H:24])([H:16])[C:10]([H:21])([H:22])[O:11][H:23])[H:17])[H:18])[H:20],[H:19][C:9]1([C:7](=[O:8])[O:6][C:5]2([C:4]1([C:3]([C:2]([C:1]2([H:13])[H:14])([H:15])[O:12][H:24])([H:16])[C:10]([H:21])([H:22])[O:11][H:23])[H:17])[H:18])[H:20]
[N+:1]([C@@:2]1([H:15])[N+:3]([H:16])=[C:4]([H:17])[N:5]([H:18])[C:6]2=[C:11]1[N:10]=[C:8]([I:9])[N:7]2[H:19])([H:12])([H:13])[H:14],[N+:1]([C@:2]1([H:15])[N+:3]([H:16])=[C:4]([H:17])[N:5]([H:18])[C:6]2=[C:11]1[N:10]=[C:8]([I:9])[N:7]2[H:19])([H:12])([H:13])[H:14]
[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([N:5]=[O:6])[Cl:7],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([N:5]=[O:6])[Cl:7]
[H:20][C:8]1=[C:7]([N:11]=[C:10]([O:9]1)[H:21])[C:6]([H:18])([H:19])[N+:2]([H:15])([C:1]([H:12])([H:13])[H:14])[C:3]([H:16])([H:17])[C:4]#[N:5],[H:20][C:8]1=[C:7]([N:11]=[C:10]([O:9]1)[H:21])[C:6]([H:18])([H:19])[N+:2]([H:15])([C:1]([H:12])([H:13])[H:14])[C:3]([H:16])([H:17])[C:4]#[N:5]
[H:13][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:19])[H:20])[C:6]([H:21])([H:22])[C:7]([H:23])([C:8]([F:9])([F:10])[F:11])[O:12][H:24])([H:17])[H:18])([H:15])[H:16])[H:14],[H:13][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:19])[H:20])[C:6]([H:21])([H:22])[C:7]([H:23])([C:8]([F:9])([F:10])[F:11])[O:12][H:24])([H:17])[H:18])([H:15])[H:16])[H:14]
[H:20][C@@:6]1([C:4](=[O:5])[N:3]([C@@:2]1([H:18])[O:1][H:17])[H:19])[C@:7]([H:21])([C:8]([H:22])([H:23])[H:24])[O:9][Si:10]([C:11]([H:25])([H:26])[H:27])([C:12]([H:28])([H:29])[H:30])[C:13]([C:14]([H:31])([H:32])[H:33])([C:15]([H:34])([H:35])[H:36])[C:16]([H:37])([H:38])[H:39],[H:20][C@:6]1([C:4](=[O:5])[N:3]([C@:2]1([H:18])[O:1][H:17])[H:19])[C@@:7]([H:21])([C:8]([H:22])([H:23])[H:24])[O:9][Si:10]([C:11]([H:25])([H:26])[H:27])([C:12]([H:28])([H:29])[H:30])[C:13]([C:14]([H:31])([H:32])[H:33])([C:15]([H:34])([H:35])[H:36])[C:16]([H:37])([H:38])[H:39]
[H:18][C:7](=[O:8])[C:6]([H:16])([H:17])[S:5][C:2]([H:12])([C:1]([H:9])([H:10])[H:11])[C:3]([H:13])([H:14])[O:4][H:15],[H:18][C:7](=[O:8])[C:6]([H:16])([H:17])[S:5][C:2]([H:12])([C:1]([H:9])([H:10])[H:11])[C:3]([H:13])([H:14])[O:4][H:15]
[H:13][c:1]1[c:2]([c:3]([c:4]([c:5]([c:6]1[C:7]([H:17])([H:18])[N+:8]([H:19])([H:20])[C:9]([H:21])([H:22])[C:10]([H:23])([H:24])[F:11])[H:16])[H:15])[F:12])[H:14],[H:13][c:1]1[c:2]([c:3]([c:4]([c:5]([c:6]1[C:7]([H:17])([H:18])[N+:8]([H:19])([H:20])[C:9]([H:21])([H:22])[C:10]([H:23])([H:24])[F:11])[H:16])[H:15])[F:12])[H:14]
[H:23][C:8]1([C:9]([O:10][C:11]([C:12]([N+:7]1([H:22])[C:6]([H:20])([H:21])[C:5]([H:18])([H:19])[C:3](=[O:4])[C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])([H:29])[H:30])([H:27])[H:28])([H:25])[H:26])[H:24],[H:23][C:8]1([C:9]([O:10][C:11]([C:12]([N+:7]1([H:22])[C:6]([H:20])([H:21])[C:5]([H:18])([H:19])[C:3](=[O:4])[C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])([H:29])[H:30])([H:27])[H:28])([H:25])[H:26])[H:24]
[H:11][C:1]1=[C:5]([O:4][C:3](=[C:2]1[H:12])[S:8](=[O:9])[O-:10])[C:6]([H:13])([H:14])[O:7][H:15],[H:11][C:1]1=[C:5]([O:4][C:3](=[C:2]1[H:12])[S:8](=[O:9])[O-:10])[C:6]([H:13])([H:14])[O:7][H:15]
[H:20][C:6](=[O:7])[C:5]([H:19])([C:4]([H:17])([H:18])[C:3]([H:15])([H:16])[C:2]([H:13])([H:14])[C:1]([H:10])([H:11])[H:12])[O:8][C:9]([H:21])([H:22])[H:23],[H:20][C:6](=[O:7])[C:5]([H:19])([C:4]([H:17])([H:18])[C:3]([H:15])([H:16])[C:2]([H:13])([H:14])[C:1]([H:10])([H:11])[H:12])[O:8][C:9]([H:21])([H:22])[H:23]
[H:17][C:4](=[O:5])[C:3]([H:16])([C:2]([H:14])([H:15])[C:1]([H:11])([H:12])[H:13])[N+:6]([H:18])([C:7]([H:19])([H:20])[H:21])[C:8]([H:22])([H:23])[C:9]([H:24])([H:25])[O:10][H:26],[H:17][C:4](=[O:5])[C:3]([H:16])([C:2]([H:14])([H:15])[C:1]([H:11])([H:12])[H:13])[N+:6]([H:18])([C:7]([H:19])([H:20])[H:21])[C:8]([H:22])([H:23])[C:9]([H:24])([H:25])[O:10][H:26]
[H:28][C:12]1([C:8](=[N:9][O:10][C:11]1([H:26])[H:27])[C:7]([H:24])([H:25])[C:6]([H:22])([H:23])[N+:4]2([C:5]([C:1]([C:2]([C:3]2([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])([H:20])[H:21])[H:19])[H:29],[H:28][C:12]1([C:8](=[N:9][O:10][C:11]1([H:26])[H:27])[C:7]([H:24])([H:25])[C:6]([H:22])([H:23])[N+:4]2([C:5]([C:1]([C:2]([C:3]2([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])([H:20])[H:21])[H:19])[H:29]
[H:17][C:7](=[O:8])[C:5]1([C:4]([O:3][C:2]([O:6]1)([C:1]([H:12])([H:13])[H:14])[C:11]([H:21])([H:22])[H:23])([H:15])[C:9]([H:18])([H:19])[O:10][H:20])[H:16],[H:17][C:7](=[O:8])[C:5]1([C:4]([O:3][C:2]([O:6]1)([C:1]([H:12])([H:13])[H:14])[C:11]([H:21])([H:22])[H:23])([H:15])[C:9]([H:18])([H:19])[O:10][H:20])[H:16]
[H:29][C:10](=[O:11])[C:9]([H:27])([H:28])[N+:7]([H:23])([C:8]([H:24])([H:25])[H:26])[C:2]([H:15])([C:3]1([C:4]([C:5]1([H:18])[H:19])([H:16])[H:17])[C:6]([H:20])([H:21])[H:22])[C:1]([H:12])([H:13])[H:14],[H:29][C:10](=[O:11])[C:9]([H:27])([H:28])[N+:7]([H:23])([C:8]([H:24])([H:25])[H:26])[C:2]([H:15])([C:3]1([C:4]([C:5]1([H:18])[H:19])([H:16])[H:17])[C:6]([H:20])([H:21])[H:22])[C:1]([H:12])([H:13])[H:14]
[H:16][C:8]1=[C:7]([N:6]([C:5](=[N:9]1)[S:2](=[O:3])(=[O:4])[C:1]([H:12])([H:13])[H:14])[H:15])[C:10]([H:17])([H:18])[O:11][H:19],[H:16][C:8]1=[C:7]([N:6]([C:5](=[N:9]1)[S:2](=[O:3])(=[O:4])[C:1]([H:12])([H:13])[H:14])[H:15])[C:10]([H:17])([H:18])[O:11][H:19]
[H:8][C:1]([H:9])([C:4](=[N+:5]([H:13])[H:14])[N:6]=[O:7])[C:2]([H:10])([H:11])[O:3][H:12],[H:8][C:1]([H:9])([C:4](=[N+:5]([H:13])[H:14])[N:6]=[O:7])[C:2]([H:10])([H:11])[O:3][H:12]
[H:15][C:1](=[O:2])[C@:3]([H:16])([C@@:5]([H:18])([C@@:7]1([C@:12]([O:11][B:9]([O:8]1)[O:10][H:21])([H:22])[C:13]([H:23])([H:24])[O:14][H:25])[H:20])[O:6][H:19])[O:4][H:17],[H:15][C:1](=[O:2])[C@@:3]([H:16])([C@:5]([H:18])([C@:7]1([C@@:12]([O:11][B:9]([O:8]1)[O:10][H:21])([H:22])[C:13]([H:23])([H:24])[O:14][H:25])[H:20])[O:6][H:19])[O:4][H:17]
[H:21][C:9](=[N:8][C:3]([H:15])([N+:4]([H:16])([H:17])[C:5]([H:18])([H:19])[C:6](=[O:7])[H:20])[S:2][C:1]([H:12])([H:13])[H:14])[C:10](=[O:11])[H:22],[H:21][C:9](=[N:8][C:3]([H:15])([N+:4]([H:16])([H:17])[C:5]([H:18])([H:19])[C:6](=[O:7])[H:20])[S:2][C:1]([H:12])([H:13])[H:14])[C:10](=[O:11])[H:22]
[H:6][C:1]([H:7])([C:2]([H:8])([H:9])[N:3]([H:10])[H:11])[C:4]([H:12])([H:13])[S:5][H:14],[H:6][C:1]([H:7])([C:2]([H:8])([H:9])[N:3]([H:10])[H:11])[C:4]([H:12])([H:13])[S:5][H:14]
[H:26][C:8](=[O:9])[C:7]([H:24])([H:25])[C:6]([H:23])([C:10](=[O:11])[H:27])[C:5]([H:21])([H:22])[C:2]([C:1]([H:12])([H:13])[H:14])([C:3]([H:15])([H:16])[H:17])[C:4]([H:18])([H:19])[H:20],[H:26][C:8](=[O:9])[C:7]([H:24])([H:25])[C:6]([H:23])([C:10](=[O:11])[H:27])[C:5]([H:21])([H:22])[C:2]([C:1]([H:12])([H:13])[H:14])([C:3]([H:15])([H:16])[H:17])[C:4]([H:18])([H:19])[H:20]
[H:21][C:5](=[O:6])[C:4]([H:20])([C:2]([H:16])([C:1]([H:13])([H:14])[H:15])[C:3]([H:17])([H:18])[H:19])[N+:7]([H:22])([H:23])[C:8]([H:24])([H:25])[C:9]([F:10])([F:11])[F:12],[H:21][C:5](=[O:6])[C:4]([H:20])([C:2]([H:16])([C:1]([H:13])([H:14])[H:15])[C:3]([H:17])([H:18])[H:19])[N+:7]([H:22])([H:23])[C:8]([H:24])([H:25])[C:9]([F:10])([F:11])[F:12]
[H:19][C:4]1([C:3]([C:2]([C:7]2([C:6]([C:5]1([H:21])[H:22])([N+:8]2([H:25])[C:9]([H:26])([H:27])[C:10]([H:28])([C:11]([H:29])([H:30])[H:31])[O:12][H:32])[H:23])[H:24])([H:16])[C:1]([H:13])([H:14])[H:15])([H:17])[H:18])[H:20],[H:19][C:4]1([C:3]([C:2]([C:7]2([C:6]([C:5]1([H:21])[H:22])([N+:8]2([H:25])[C:9]([H:26])([H:27])[C:10]([H:28])([C:11]([H:29])([H:30])[H:31])[O:12][H:32])[H:23])[H:24])([H:16])[C:1]([H:13])([H:14])[H:15])([H:17])[H:18])[H:20]
[H:8][C:1]([H:9])([H:10])[O:2][C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[S:5](=[O:6])[O-:7],[H:8][C:1]([H:9])([H:10])[O:2][C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[S:5](=[O:6])[O-:7]
[H:22][C:11]([H:23])([H:24])[C:7]1=[C:8]([S:9][C:5](=[N:6]1)[S:4][C:3]([H:17])([H:18])[C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[C:10]([H:19])([H:20])[H:21],[H:22][C:11]([H:23])([H:24])[C:7]1=[C:8]([S:9][C:5](=[N:6]1)[S:4][C:3]([H:17])([H:18])[C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[C:10]([H:19])([H:20])[H:21]
[H:16][C:9](=[O:10])[C:7](=[O:8])[C:4]([H:14])([C:5](=[O:6])[H:15])[C:2](=[O:3])[C:1]([H:11])([H:12])[H:13],[H:16][C:9](=[O:10])[C:7](=[O:8])[C:4]([H:14])([C:5](=[O:6])[H:15])[C:2](=[O:3])[C:1]([H:11])([H:12])[H:13]
[H:10][C:1]([H:11])([H:12])[C:2]([H:13])([H:14])[C:3]([C:4]([H:15])([H:16])[H:17])([C:5]([H:18])([H:19])[N:6]([H:20])[H:21])[C:7]([H:22])([C:8]([H:23])([H:24])[H:25])[O:9][H:26],[H:10][C:1]([H:11])([H:12])[C:2]([H:13])([H:14])[C:3]([C:4]([H:15])([H:16])[H:17])([C:5]([H:18])([H:19])[N:6]([H:20])[H:21])[C:7]([H:22])([C:8]([H:23])([H:24])[H:25])[O:9][H:26]
[H:18][C:5]1([C:4]([C:3]([C:8]([C:7]([C:6]1([H:20])[C:9]([H:25])([H:26])[O:10][H:27])([H:21])[H:22])([H:23])[H:24])([H:15])[N:2]([H:14])[C:1]([H:11])([H:12])[H:13])([H:16])[H:17])[H:19],[H:18][C:5]1([C:4]([C:3]([C:8]([C:7]([C:6]1([H:20])[C:9]([H:25])([H:26])[O:10][H:27])([H:21])[H:22])([H:23])[H:24])([H:15])[N:2]([H:14])[C:1]([H:11])([H:12])[H:13])([H:16])[H:17])[H:19]
[H:21][C:11]1=[N:10][N:9]([C:8](=[N:12]1)[S:5](=[O:6])(=[O:7])[C:4]([H:18])([H:19])[C:3]([H:16])([H:17])[O:2][C:1]([H:13])([H:14])[H:15])[H:20],[H:21][C:11]1=[N:10][N:9]([C:8](=[N:12]1)[S:5](=[O:6])(=[O:7])[C:4]([H:18])([H:19])[C:3]([H:16])([H:17])[O:2][C:1]([H:13])([H:14])[H:15])[H:20]
[H:10][C:1]([H:11])([H:12])[C:2]([H:13])([H:14])[O:3][C:4]([H:15])([H:16])[P:5](=[O:6])([O-:7])[O:8][C:9]([H:17])([H:18])[H:19],[H:10][C:1]([H:11])([H:12])[C:2]([H:13])([H:14])[O:3][C:4]([H:15])([H:16])[P:5](=[O:6])([O-:7])[O:8][C:9]([H:17])([H:18])[H:19]
[H:20][C:19]1=[C:17]([S:16][C:14](=[C:13]1[C:10]([H:11])([H:12])[C:7]([H:8])([H:9])[C:4]([H:5])([H:6])[C:2](=[O:3])[H:1])[Br:15])[Br:18],[H:20][C:19]1=[C:17]([S:16][C:14](=[C:13]1[C:10]([H:11])([H:12])[C:7]([H:8])([H:9])[C:4]([H:5])([H:6])[C:2](=[O:3])[H:1])[Br:15])[Br:18]
[H:25][C:10](=[O:11])[C:9]([H:23])([H:24])[C:8]([H:21])([H:22])[C:7]([H:19])([H:20])[C:6]([H:17])([H:18])[C:5]1([C:1]([C:2]([S:3][S:4]1)([H:14])[H:15])([H:12])[H:13])[H:16],[H:25][C:10](=[O:11])[C:9]([H:23])([H:24])[C:8]([H:21])([H:22])[C:7]([H:19])([H:20])[C:6]([H:17])([H:18])[C:5]1([C:1]([C:2]([S:3][S:4]1)([H:14])[H:15])([H:12])[H:13])[H:16]
[H:13][C:1]([H:14])([H:15])[C:2]1=[N:6][N:5]([C:4](=[N:3]1)[S:7][C:8]([H:17])([H:18])[C:9]([C:10]([H:19])([H:20])[H:21])([C:11]([H:22])([H:23])[H:24])[O:12][H:25])[H:16],[H:13][C:1]([H:14])([H:15])[C:2]1=[N:6][N:5]([C:4](=[N:3]1)[S:7][C:8]([H:17])([H:18])[C:9]([C:10]([H:19])([H:20])[H:21])([C:11]([H:22])([H:23])[H:24])[O:12][H:25])[H:16]
[H:11][C:1]1([C:5]2([C:4]([O:6]2)([C:3]([C:2]1([H:13])[O:10][H:20])([H:14])[O:9][H:19])[C:7]([H:16])([H:17])[O:8][H:18])[H:15])[H:12],[H:11][C:1]1([C:5]2([C:4]([O:6]2)([C:3]([C:2]1([H:13])[O:10][H:20])([H:14])[O:9][H:19])[C:7]([H:16])([H:17])[O:8][H:18])[H:15])[H:12]
[N:1]([C:2]1=[N:3][C:4]([I:5])=[N:6][C@:7]2([H:14])[N:8]([H:15])[C:9]([H:16])=[N:10][C@:11]12[H:17])([H:12])[H:13],[N:1]([C:2]1=[N:3][C:4]([I:5])=[N:6][C@:7]2([H:14])[N:8]([H:15])[C:9]([H:16])=[N:10][C@@:11]12[H:17])([H:12])[H:13]
[H:4][c:3]1[c:2]([c:23]([c:21]([c:19]([c:5]1[C:6]([H:7])([H:8])[C:9]([H:10])([H:11])[N+:12]([H:13])([H:14])[C:15]([H:16])([H:17])[H:18])[H:20])[Br:22])[Br:24])[H:1],[H:4][c:3]1[c:2]([c:23]([c:21]([c:19]([c:5]1[C:6]([H:7])([H:8])[C:9]([H:10])([H:11])[N+:12]([H:13])([H:14])[C:15]([H:16])([H:17])[H:18])[H:20])[Br:22])[Br:24])[H:1]
[H:18][C:6]1=[C:7]([S:8][C:4](=[C:5]1[H:17])[C:3]([H:16])([C:9](=[O:10])[O-:11])[N:2]([H:15])[C:1]([H:12])([H:13])[H:14])[H:19],[H:18][C:6]1=[C:7]([S:8][C:4](=[C:5]1[H:17])[C:3]([H:16])([C:9](=[O:10])[O-:11])[N:2]([H:15])[C:1]([H:12])([H:13])[H:14])[H:19]
[H:17][C:8](=[O:9])[C:2]1([C:1]([S:5][C:4](=[N:3]1)[C:6]([H:13])([H:14])[N:7]([H:15])[H:16])([H:10])[H:11])[H:12],[H:17][C:8](=[O:9])[C:2]1([C:1]([S:5][C:4](=[N:3]1)[C:6]([H:13])([H:14])[N:7]([H:15])[H:16])([H:10])[H:11])[H:12]
[O:1]=[N:2][C@:3]([I:4])([C:5]([I:6])([H:8])[H:9])[H:7],[O:1]=[N:2][C@@:3]([I:4])([C:5]([I:6])([H:8])[H:9])[H:7]
[H:22][c:10]1[c:9]([c:8]([c:7]([c:12]([c:11]1[H:23])[H:24])[C:6]([H:18])([H:19])[S:5][C:2]([H:16])([C:3](=[O:4])[H:17])[C:1]([H:13])([H:14])[H:15])[H:20])[H:21],[H:22][c:10]1[c:9]([c:8]([c:7]([c:12]([c:11]1[H:23])[H:24])[C:6]([H:18])([H:19])[S:5][C:2]([H:16])([C:3](=[O:4])[H:17])[C:1]([H:13])([H:14])[H:15])[H:20])[H:21]
[H:17][C:5]1=[N:6][O:7][C:8](=[C:4]1[C:3]([H:16])([O:2][C:1]([H:13])([H:14])[H:15])[O:11][C:12]([H:19])([H:20])[H:21])[C:9](=[O:10])[H:18],[H:17][C:5]1=[N:6][O:7][C:8](=[C:4]1[C:3]([H:16])([O:2][C:1]([H:13])([H:14])[H:15])[O:11][C:12]([H:19])([H:20])[H:21])[C:9](=[O:10])[H:18]
